Tiempo,Xcom,Ycom,Zcom,x_robot,y_robot,z_robot,angulo_x,angulo_y,angulo_z,aceleracion_x,aceleracion_y,aceleracion_z,velocidad_angular_x,velocidad_angular_y,velocidad_angular_z,campo_magnetico_x,campo_magnetico_y,campo_magnetico_z,Xzmp_Juanlo,Yzmp_Juanlo,fx0,fy0,fz0,mx0,my0,mz0,Xzmp0,Yzmp0,fx1,fy1,fz1,mx1,my1,mz1,Xzmp1,Yzmp1,Xzmp_Loli,Yzmp_Loli
0.33,0,0,103.66,-0.06,-0.12,-6.36,178.91,0.54,26.35,-0.11,0.19,-9.85,0.21,-0.10,-0.31,0.32,0.14,0.86,1.56,-20.10,-2.57,-6.46,-251.07,104.63,60.12,8.36,23.75,-41.18,-8.40,34.87,-292.16,-43.76,124.44,7.26,42.04,12.66,-0.00,-12.22
0.37,0,0,103.66,-0.06,-0.13,-6.85,178.92,0.54,26.35,-0.03,0.19,-9.76,-0.26,0.13,-0.34,0.32,0.14,0.86,1.88,-20.14,-3.27,-6.29,-250.81,104.46,60.42,8.08,23.84,-41.16,-8.73,34.71,-292.16,-43.89,124.56,7.26,42.06,12.72,0.05,-12.17
0.39,0,0,103.66,-0.06,-0.14,-7.34,178.91,0.55,26.35,0.00,0.22,-9.78,-0.31,-0.13,-0.22,0.32,0.14,0.86,2.39,-20.38,-2.88,-6.63,-251.07,104.55,60.22,8.36,23.76,-41.13,-8.56,34.91,-292.16,-44.15,124.69,6.88,42.11,12.79,0.04,-12.13
0.42,0,0,103.66,-0.06,-0.16,-7.82,178.91,0.54,26.35,0.05,0.22,-9.72,-0.21,0.96,-0.09,0.32,0.14,0.86,3.05,-20.59,-2.90,-6.65,-250.65,104.51,60.36,8.36,23.86,-41.18,-8.99,34.75,-292.74,-43.74,124.51,7.86,41.94,12.64,0.00,-12.19
0.45,0,0,103.66,-0.08,-0.16,-8.31,178.91,0.54,26.35,-0.33,0.16,-9.74,-0.20,-0.01,-0.34,0.32,0.14,0.86,1.38,-20.40,-2.42,-6.69,-250.86,104.50,60.18,8.43,23.80,-41.14,-7.76,34.44,-292.21,-43.93,124.43,7.03,42.07,12.75,0.03,-12.14
0.48,0,0,103.66,-0.08,-0.17,-8.80,178.90,0.54,26.35,-0.00,0.19,-9.77,-0.10,0.67,-0.25,0.32,0.14,0.86,1.78,-20.37,-3.27,-6.25,-251.22,104.65,60.31,8.13,23.75,-41.17,-7.06,34.30,-292.90,-43.80,124.18,7.41,41.93,12.68,-0.05,-12.18
0.51,0,0,103.66,-0.08,-0.18,-9.29,178.91,0.54,26.34,-0.13,0.21,-9.81,0.22,0.70,0.35,0.31,0.14,0.86,1.45,-20.45,-2.73,-6.92,-250.86,104.59,60.15,8.43,23.77,-41.16,-8.04,34.30,-293.27,-43.68,124.11,8.15,41.79,12.63,-0.11,-12.17
0.55,0,0,103.66,-0.09,-0.19,-9.78,178.90,0.54,26.34,-0.15,0.19,-9.82,-0.21,0.41,-0.21,0.32,0.14,0.86,1.09,-20.45,-2.88,-6.57,-250.65,104.51,60.36,8.28,23.86,-41.19,-8.42,34.71,-292.37,-43.67,124.37,7.24,41.98,12.63,0.03,-12.21
0.57,0,0,103.66,-0.10,-0.19,-9.78,178.90,0.53,26.34,-0.23,0.16,-9.85,0.17,0.42,0.20,0.32,0.14,0.86,0.40,-20.24,-2.90,-6.63,-250.65,104.65,60.20,8.51,23.79,-41.24,-8.24,34.67,-292.80,-43.78,124.40,7.19,41.94,12.65,-0.02,-12.20
0.60,0,0,103.66,-0.09,-0.19,-9.79,178.91,0.53,26.34,-0.19,0.21,-9.79,-0.10,0.07,-0.54,0.32,0.14,0.87,0.90,-20.24,-2.73,-6.46,-250.86,104.54,60.12,8.43,23.76,-41.17,-7.44,34.44,-293.33,-43.61,124.04,7.32,41.80,12.59,-0.10,-12.19
0.63,0,0,103.66,-0.09,-0.19,-9.79,178.90,0.54,26.34,-0.02,0.21,-9.76,-0.04,-0.23,-0.54,0.32,0.14,0.86,1.60,-20.55,-2.65,-6.61,-251.48,104.52,60.03,8.36,23.67,-41.05,-7.70,34.50,-292.21,-44.02,124.33,7.49,42.04,12.78,-0.04,-12.12
0.66,0,0,103.66,-0.09,-0.19,-9.79,178.90,0.53,26.36,0.05,0.17,-9.71,-0.47,0.52,0.05,0.31,0.14,0.86,1.50,-20.27,-3.12,-6.27,-250.81,104.51,60.38,8.15,23.83,-41.19,-6.98,34.77,-292.64,-43.96,124.25,7.26,42.00,12.72,0.03,-12.16
0.69,0,0,103.66,-0.09,-0.19,-9.79,178.89,0.53,26.35,-0.03,0.17,-9.75,-0.14,0.83,-0.35,0.32,0.13,0.86,1.17,-20.19,-2.88,-6.48,-250.86,104.59,60.26,8.36,23.80,-41.19,-7.78,34.57,-293.06,-43.87,124.36,7.56,41.92,12.68,-0.02,-12.17
0.72,0,0,103.66,-0.08,-0.19,-9.79,178.89,0.53,26.36,0.03,0.27,-9.86,0.31,-0.33,-0.64,0.32,0.14,0.86,1.77,-20.61,-3.04,-6.63,-251.07,104.61,60.26,8.36,23.77,-41.15,-8.04,34.48,-292.80,-43.86,124.35,7.64,41.94,12.70,-0.03,-12.16
0.75,0,0,103.66,-0.09,-0.19,-9.80,178.90,0.53,26.36,-0.17,0.17,-9.89,0.11,0.52,0.02,0.32,0.14,0.86,0.90,-20.46,-2.81,-6.69,-250.86,104.61,60.30,8.43,23.82,-41.18,-8.00,34.75,-292.37,-43.86,124.47,7.19,42.04,12.70,0.04,-12.18
0.78,0,0,103.66,-0.09,-0.19,-9.80,178.89,0.52,26.35,-0.02,0.17,-9.87,-0.30,1.03,-0.24,0.32,0.14,0.86,1.29,-20.22,-2.96,-6.71,-251.07,104.55,60.31,8.36,23.79,-41.12,-8.18,34.50,-292.85,-43.80,124.50,7.49,41.97,12.67,-0.00,-12.16
0.81,0,0,103.66,-0.09,-0.19,-9.80,178.89,0.51,26.36,-0.16,0.19,-9.83,-0.03,0.93,-0.04,0.31,0.14,0.86,0.80,-20.45,-3.27,-6.73,-250.86,104.66,60.39,8.38,23.82,-41.20,-8.00,34.52,-292.58,-44.08,124.29,7.41,41.95,12.78,-0.00,-12.14
0.84,0,0,103.66,-0.09,-0.19,-9.80,178.89,0.51,26.36,-0.18,0.21,-9.82,0.36,0.34,0.01,0.32,0.14,0.86,0.65,-20.46,-2.50,-6.69,-251.07,104.63,60.11,8.43,23.75,-41.16,-7.60,34.75,-292.21,-43.85,124.33,7.03,42.04,12.70,0.01,-12.19
0.87,0,0,103.66,-0.10,-0.19,-9.80,178.89,0.50,26.36,-0.21,0.18,-9.86,-0.15,0.65,-0.08,0.32,0.14,0.86,0.26,-20.44,-2.81,-6.54,-251.27,104.70,60.24,8.43,23.76,-41.16,-8.08,34.65,-292.64,-43.65,124.09,7.32,41.87,12.62,-0.08,-12.23
0.90,0,0,103.66,-0.09,-0.20,-9.80,178.89,0.51,26.37,0.08,0.24,-9.84,-0.25,0.30,-0.24,0.32,0.14,0.86,1.09,-20.81,-2.96,-6.25,-251.22,104.59,60.27,8.28,23.76,-41.15,-7.62,34.73,-292.42,-43.72,124.51,7.19,42.07,12.65,0.03,-12.21
0.93,0,0,103.66,-0.10,-0.20,-9.80,178.89,0.52,26.38,-0.34,0.17,-9.71,0.09,0.07,-0.44,0.31,0.14,0.86,-0.13,-20.72,-3.27,-6.59,-250.86,104.67,60.48,8.30,23.86,-41.22,-7.66,34.54,-292.21,-43.79,124.32,6.73,42.04,12.69,0.06,-12.21
0.96,0,0,103.66,-0.11,-0.20,-9.79,178.89,0.53,26.37,-0.20,0.20,-9.71,0.20,0.25,0.12,0.32,0.14,0.86,-0.97,-20.73,-2.36,-6.98,-251.12,104.63,60.00,8.73,23.71,-41.13,-7.84,34.52,-292.85,-43.68,124.25,7.24,41.91,12.63,-0.07,-12.19
0.99,0,0,103.66,-0.11,-0.20,-9.79,178.88,0.53,26.37,-0.11,0.25,-9.68,-0.37,0.44,-0.04,0.32,0.13,0.86,-1.52,-20.86,-3.04,-6.46,-251.48,104.78,60.14,8.36,23.68,-41.17,-8.66,34.61,-291.95,-43.74,124.62,7.56,42.11,12.68,0.00,-12.24
1.03,0,0,103.66,-0.11,-0.20,-9.79,178.88,0.52,26.39,0.04,0.20,-9.77,0.20,-0.21,-0.87,0.32,0.14,0.86,-1.49,-20.73,-3.12,-6.55,-250.86,104.56,60.44,8.38,23.85,-41.18,-7.92,35.15,-292.16,-43.97,124.51,6.81,42.09,12.72,0.08,-12.18
1.07,0,0,103.66,-0.10,-0.20,-9.79,178.87,0.52,26.39,-0.06,0.18,-9.76,-0.42,-0.11,-0.08,0.32,0.13,0.86,-0.04,-20.84,-2.59,-6.63,-250.65,104.50,60.27,8.43,23.84,-41.18,-8.28,34.56,-293.01,-43.79,124.59,7.56,41.97,12.66,0.03,-12.16
1.09,0,0,103.66,-0.10,-0.20,-9.80,178.87,0.53,26.41,-0.11,0.19,-9.84,-0.20,0.19,-0.39,0.32,0.15,0.87,-0.60,-20.84,-2.81,-6.42,-250.65,104.46,60.32,8.36,23.85,-41.18,-8.02,34.95,-292.37,-43.74,124.30,7.39,41.98,12.64,0.03,-12.20
1.11,0,0,103.66,-0.10,-0.20,-9.80,178.88,0.53,26.40,-0.08,0.20,-9.86,-0.03,0.62,-0.56,0.32,0.13,0.86,-0.30,-20.79,-2.73,-6.77,-250.65,104.59,60.16,8.43,23.79,-41.20,-8.18,34.65,-292.80,-43.82,124.40,7.49,41.95,12.67,-0.01,-12.18
1.14,0,0,103.66,-0.10,-0.20,-9.80,178.88,0.54,26.41,-0.14,0.17,-9.81,-0.02,0.02,-0.19,0.32,0.14,0.86,-0.25,-20.68,-2.88,-6.27,-250.60,104.35,60.28,8.21,23.83,-41.15,-8.02,34.81,-292.64,-43.72,124.40,7.24,41.98,12.63,0.02,-12.18
1.17,0,0,103.66,-0.09,-0.20,-9.79,178.89,0.54,26.41,0.02,0.19,-9.77,0.44,0.13,0.19,0.32,0.14,0.86,1.06,-20.85,-2.75,-6.71,-250.65,104.55,60.22,8.51,23.81,-41.19,-8.50,34.65,-292.80,-43.94,124.56,7.34,41.98,12.71,0.02,-12.15
1.21,0,0,103.66,-0.08,-0.20,-9.80,178.89,0.54,26.40,0.07,0.22,-9.83,-0.12,0.49,0.06,0.32,0.14,0.87,2.35,-20.87,-2.73,-6.46,-251.07,104.54,60.12,8.36,23.74,-41.14,-7.70,34.81,-293.06,-43.82,124.41,7.34,41.94,12.65,-0.04,-12.17
1.24,0,0,103.66,-0.08,-0.20,-9.80,178.88,0.54,26.40,-0.04,0.20,-9.86,-0.60,0.31,-0.35,0.32,0.14,0.87,2.21,-20.81,-2.65,-6.55,-251.07,104.54,60.22,8.36,23.78,-41.13,-8.40,35.13,-292.37,-43.86,124.61,7.03,42.06,12.67,0.03,-12.19
1.27,0,0,103.66,-0.08,-0.20,-9.81,178.88,0.53,26.41,-0.11,0.17,-9.86,0.17,0.49,-0.66,0.32,0.14,0.86,1.34,-20.82,-2.81,-6.69,-250.86,104.58,60.07,8.36,23.73,-41.17,-7.86,34.81,-292.85,-43.72,124.40,7.32,41.96,12.62,-0.04,-12.20
1.30,0,0,103.66,-0.09,-0.19,-9.82,178.89,0.54,26.41,-0.11,0.13,-9.90,-0.16,-0.01,-0.01,0.31,0.14,0.86,0.90,-20.54,-2.88,-6.50,-250.45,104.50,60.27,8.36,23.84,-41.22,-7.78,34.56,-292.42,-43.79,124.15,7.77,41.94,12.68,0.01,-12.19
1.33,0,0,103.66,-0.10,-0.19,-9.81,178.89,0.54,26.41,-0.12,0.16,-9.75,0.23,0.00,-0.04,0.32,0.14,0.87,0.08,-20.02,-2.75,-6.94,-250.91,104.67,60.39,8.66,23.86,-41.18,-8.16,34.99,-292.37,-43.71,124.51,6.94,42.04,12.63,0.06,-12.22
1.36,0,0,103.66,-0.09,-0.19,-9.81,178.89,0.54,26.41,-0.09,0.17,-9.82,-0.37,0.33,-0.02,0.31,0.14,0.86,0.51,-20.00,-3.04,-6.71,-250.86,104.56,60.40,8.51,23.84,-41.16,-7.82,35.01,-292.37,-43.74,124.76,7.49,42.15,12.64,0.11,-12.21
1.39,0,0,103.66,-0.10,-0.19,-9.80,178.89,0.53,26.41,-0.12,0.19,-9.77,0.08,0.49,-0.92,0.32,0.14,0.87,-0.02,-20.10,-2.81,-6.40,-250.86,104.65,60.31,8.28,23.82,-41.22,-8.10,34.42,-292.64,-43.76,124.44,7.41,41.99,12.67,0.02,-12.20
1.42,0,0,103.66,-0.09,-0.19,-9.80,178.88,0.54,26.40,0.04,0.20,-9.82,-0.55,0.18,-0.12,0.32,0.13,0.86,1.02,-20.13,-3.04,-6.34,-250.65,104.51,60.36,8.38,23.85,-41.20,-8.10,34.97,-292.58,-43.87,124.46,7.24,42.00,12.68,0.04,-12.18
1.45,0,0,103.66,-0.08,-0.19,-9.80,178.89,0.54,26.41,-0.04,0.18,-9.84,-0.04,0.15,-0.30,0.32,0.14,0.87,1.73,-19.96,-2.11,-7.03,-251.12,104.58,59.88,8.66,23.68,-41.10,-7.90,34.61,-292.42,-43.87,124.37,6.88,42.01,12.71,-0.05,-12.15
1.48,0,0,103.66,-0.07,-0.19,-9.80,178.89,0.55,26.39,-0.07,0.22,-9.74,-0.15,-0.13,0.14,0.32,0.13,0.87,2.45,-20.20,-2.65,-6.71,-251.07,104.50,60.18,8.43,23.76,-41.10,-8.10,34.71,-292.37,-43.80,124.50,7.56,42.04,12.68,0.01,-12.17
1.51,0,0,103.66,-0.08,-0.19,-9.79,178.90,0.57,26.40,-0.00,0.18,-9.75,-0.07,-0.21,-0.52,0.32,0.14,0.87,2.00,-19.92,-2.96,-6.55,-250.81,104.44,60.23,8.28,23.79,-41.14,-7.86,34.89,-292.37,-43.82,124.58,7.19,42.09,12.67,0.05,-12.17
1.54,0,0,103.66,-0.06,-0.19,-9.79,178.90,0.57,26.40,-0.01,0.21,-9.74,0.05,0.13,0.11,0.32,0.14,0.86,3.77,-20.13,-2.65,-6.54,-251.27,104.63,60.11,8.36,23.72,-41.14,-7.44,34.63,-293.49,-43.89,124.29,7.03,41.86,12.66,-0.10,-12.15
1.58,0,0,103.66,-0.04,-0.19,-9.79,178.90,0.58,26.40,0.14,0.20,-9.70,-0.34,-0.08,0.04,0.32,0.14,0.86,5.56,-20.18,-2.81,-6.25,-250.81,104.52,60.14,8.21,23.76,-41.19,-8.12,34.83,-292.37,-43.78,124.24,8.07,41.95,12.66,-0.04,-12.20
1.60,0,0,103.66,-0.04,-0.19,-9.80,178.90,0.58,26.39,-0.08,0.21,-9.73,-0.02,-0.28,0.29,0.32,0.14,0.87,5.72,-19.97,-2.75,-6.94,-250.50,104.61,60.24,8.58,23.84,-41.22,-8.42,35.37,-292.58,-43.76,124.51,7.09,42.00,12.61,0.03,-12.22
1.63,0,0,103.66,-0.05,-0.19,-9.79,178.90,0.58,26.39,-0.15,0.21,-9.73,-0.07,-0.02,-0.64,0.32,0.14,0.86,4.70,-20.06,-2.88,-6.63,-250.86,104.54,60.22,8.28,23.78,-41.16,-8.00,34.67,-292.58,-43.93,124.33,7.11,41.96,12.71,-0.02,-12.15
1.66,0,0,103.66,-0.06,-0.19,-9.79,178.90,0.58,26.40,-0.13,0.21,-9.68,-0.51,0.07,-0.12,0.31,0.14,0.86,4.33,-20.22,-3.35,-6.34,-250.60,104.65,60.30,8.23,23.80,-41.27,-8.28,34.36,-292.21,-43.65,124.41,7.94,42.03,12.66,0.02,-12.24
1.69,0,0,103.66,-0.05,-0.19,-9.79,178.90,0.58,26.41,0.05,0.19,-9.77,-0.33,0.37,-0.60,0.33,0.14,0.87,5.19,-20.25,-2.67,-7.32,-250.50,104.51,60.24,8.73,23.84,-41.15,-8.75,34.20,-292.58,-43.74,124.40,8.24,41.94,12.68,0.00,-12.15
1.72,0,0,103.66,-0.05,-0.19,-9.79,178.89,0.56,26.41,-0.22,0.15,-9.84,0.03,0.55,-0.51,0.32,0.14,0.87,4.43,-19.98,-2.59,-6.50,-250.45,104.65,60.31,8.36,23.88,-41.28,-8.08,34.65,-291.95,-43.89,124.26,7.41,42.03,12.73,0.06,-12.21
1.75,0,0,103.66,-0.04,-0.19,-9.79,178.89,0.57,26.42,0.10,0.15,-9.86,0.19,0.39,-0.44,0.32,0.14,0.86,5.68,-19.86,-2.96,-6.55,-250.65,104.55,60.31,8.28,23.83,-41.20,-7.36,34.83,-292.21,-43.71,124.17,7.09,42.00,12.65,0.02,-12.22
1.78,0,0,103.66,-0.05,-0.19,-9.79,178.90,0.57,26.43,-0.08,0.16,-9.77,0.07,0.66,-0.46,0.31,0.14,0.86,5.14,-19.72,-2.88,-6.55,-250.86,104.59,60.30,8.36,23.81,-41.19,-7.14,34.26,-292.90,-43.61,124.04,7.69,41.88,12.62,-0.04,-12.20
1.81,0,0,103.66,-0.06,-0.19,-9.78,178.90,0.57,26.43,-0.08,0.20,-9.76,-0.03,0.02,-0.44,0.32,0.14,0.86,4.37,-19.63,-3.12,-6.71,-250.86,104.50,60.26,8.43,23.78,-41.14,-7.18,34.56,-292.27,-43.86,124.14,6.94,42.00,12.71,-0.01,-12.16
1.84,0,0,103.66,-0.05,-0.18,-9.78,178.91,0.58,26.43,-0.01,0.14,-9.74,0.40,0.08,-0.51,0.31,0.13,0.86,4.52,-19.31,-2.67,-6.98,-250.91,104.59,60.06,8.66,23.73,-41.15,-7.96,34.89,-292.58,-43.76,124.55,7.34,42.04,12.64,-0.00,-12.19
1.87,0,0,103.66,-0.05,-0.18,-9.77,178.90,0.59,26.44,-0.00,0.22,-9.76,-0.15,-0.00,-0.34,0.32,0.14,0.86,5.07,-19.56,-2.57,-6.77,-251.07,104.43,60.03,8.43,23.71,-41.07,-7.78,34.26,-293.06,-43.79,124.14,7.77,41.84,12.67,-0.11,-12.12
1.90,0,0,103.66,-0.05,-0.19,-9.77,178.90,0.58,26.44,-0.11,0.18,-9.81,-0.40,0.80,-0.64,0.32,0.14,0.87,5.10,-19.83,-2.88,-6.55,-250.86,104.48,60.18,8.36,23.77,-41.14,-7.86,34.48,-292.64,-43.79,124.22,8.00,41.93,12.68,-0.04,-12.16
1.93,0,0,103.66,-0.02,-0.19,-9.78,178.90,0.58,26.44,0.38,0.20,-9.93,0.09,0.37,-0.05,0.31,0.14,0.86,7.73,-20.01,-1.82,-7.17,-251.32,104.67,59.87,8.79,23.68,-41.10,-8.62,35.01,-292.37,-44.09,124.65,6.66,42.06,12.76,-0.02,-12.14
1.96,0,0,103.66,-0.01,-0.19,-9.79,178.90,0.58,26.45,0.18,0.18,-9.99,0.59,-0.20,-0.19,0.32,0.14,0.87,9.16,-20.06,-3.04,-6.31,-251.27,104.74,60.20,8.28,23.73,-41.20,-8.79,34.32,-292.80,-43.80,124.28,7.56,41.86,12.69,-0.10,-12.20
1.99,0,0,103.66,-0.01,-0.19,-9.80,178.90,0.57,26.45,-0.19,0.26,-9.99,-0.03,0.49,-0.64,0.31,0.13,0.86,8.77,-20.40,-3.12,-6.57,-250.65,104.61,60.35,8.30,23.84,-41.22,-8.30,35.23,-292.37,-43.98,124.39,6.96,41.99,12.71,0.02,-12.19
2.02,0,0,103.66,-0.01,-0.19,-9.80,178.89,0.56,26.44,0.09,0.18,-9.94,-0.29,0.25,0.08,0.32,0.14,0.87,9.03,-20.28,-3.13,-6.59,-250.45,104.52,60.46,8.45,23.90,-41.22,-7.14,34.59,-293.27,-43.79,124.28,7.39,41.90,12.64,0.02,-12.17
2.05,0,0,103.66,-0.01,-0.19,-9.80,178.90,0.56,26.45,-0.10,0.22,-9.82,0.34,-0.10,-0.03,0.32,0.14,0.87,8.73,-20.52,-2.67,-6.63,-250.45,104.55,60.27,8.51,23.86,-41.23,-8.28,34.54,-292.85,-43.54,124.51,7.62,41.97,12.58,0.03,-12.23
2.08,0,0,103.66,-0.00,-0.19,-9.80,178.91,0.57,26.44,0.14,0.13,-9.70,0.27,-0.16,0.21,0.32,0.14,0.87,9.85,-20.05,-2.81,-6.40,-250.40,104.59,60.27,8.28,23.85,-41.27,-8.72,34.87,-292.16,-43.76,124.43,7.24,42.01,12.66,0.04,-12.23
2.11,0,0,103.66,-0.01,-0.19,-9.80,178.90,0.57,26.45,-0.07,0.20,-9.76,-0.10,0.67,-0.54,0.32,0.14,0.87,9.50,-20.14,-2.96,-6.09,-250.81,104.65,60.31,8.30,23.82,-41.25,-7.44,34.77,-292.21,-43.70,124.37,6.86,42.07,12.64,0.05,-12.25
2.14,0,0,103.66,-0.01,-0.19,-9.81,178.90,0.57,26.45,-0.12,0.16,-9.85,0.23,0.55,-0.11,0.32,0.14,0.86,8.90,-19.88,-2.88,-6.92,-251.12,104.65,60.19,8.58,23.75,-41.14,-7.96,34.85,-292.80,-43.71,124.48,7.69,41.99,12.62,-0.02,-12.20
2.17,0,0,103.66,-0.03,-0.19,-9.82,178.90,0.57,26.45,-0.18,0.19,-9.86,-0.06,0.70,-0.10,0.32,0.14,0.87,7.22,-19.77,-2.75,-6.71,-251.07,104.65,60.26,8.51,23.79,-41.16,-8.18,34.63,-293.06,-43.52,124.18,7.69,41.83,12.56,-0.08,-12.23
2.20,0,0,103.66,-0.02,-0.19,-9.81,178.92,0.56,26.46,0.07,0.20,-9.72,0.02,-0.21,-0.29,0.31,0.14,0.86,8.01,-19.75,-3.04,-6.54,-251.48,104.59,60.16,8.36,23.69,-41.09,-8.24,34.81,-292.80,-43.74,124.10,7.39,41.84,12.63,-0.14,-12.19
2.23,0,0,103.66,-0.02,-0.19,-9.82,178.92,0.56,26.46,-0.12,0.18,-9.79,0.40,-0.02,-0.40,0.32,0.14,0.86,8.18,-19.56,-2.50,-6.67,-251.48,104.62,60.02,8.43,23.67,-41.09,-7.66,34.56,-292.85,-43.90,124.20,6.81,41.90,12.70,-0.11,-12.15
2.26,0,0,103.66,-0.02,-0.18,-9.82,178.91,0.57,26.46,-0.05,0.16,-9.80,-0.63,0.03,0.05,0.32,0.13,0.86,8.59,-19.25,-2.90,-6.78,-250.65,104.44,60.22,8.51,23.80,-41.14,-7.70,34.32,-292.64,-43.68,124.14,7.77,41.91,12.65,-0.03,-12.17
2.29,0,0,103.66,-0.02,-0.18,-9.83,178.91,0.57,26.47,-0.12,0.22,-9.83,-0.19,0.36,-0.01,0.32,0.14,0.86,7.73,-19.35,-2.96,-6.54,-251.27,104.69,60.15,8.28,23.71,-41.16,-8.02,34.50,-293.06,-43.63,124.18,7.62,41.84,12.60,-0.12,-12.21
2.32,0,0,103.66,-0.02,-0.18,-9.83,178.90,0.57,26.46,-0.11,0.15,-9.85,-0.26,0.01,-0.27,0.32,0.13,0.87,8.29,-19.34,-2.81,-6.69,-251.27,104.69,60.15,8.43,23.72,-41.15,-7.86,34.81,-292.58,-43.97,124.48,7.41,42.02,12.72,-0.02,-12.17
2.35,0,0,103.66,-0.03,-0.18,-9.83,178.91,0.56,26.46,-0.10,0.16,-9.83,0.10,0.31,-0.05,0.31,0.14,0.86,7.25,-19.41,-2.73,-6.63,-250.65,104.44,60.23,8.36,23.82,-41.16,-7.68,34.34,-292.64,-43.74,124.20,7.41,41.93,12.67,-0.01,-12.16
